900
0:1:1
(9, 19, green)
(6, 19, yellow)
(7, 19, yellow)
(1, 19, green)
(0, 19, green)
(3, 19, blue)
(2, 19, blue)
(4, 19, purple)
(5, 19, green)
(8, 17, yellow)
(8, 18, yellow)
(6, 18, yellow)
(5, 18, purple)
(0, 16, red)
(0, 17, red)
(0, 18, red)
(3, 18, yellow)
(1, 16, green)
(1, 17, green)
(1, 18, green)
(4, 16, blue)
(4, 17, blue)
(4, 18, blue)
(6, 16, green)
(6, 17, green)
(7, 17, green)
(7, 18, green)
(3, 17, red)
(3, 16, red)
(7, 16, purple)
(8, 16, purple)
(9, 16, red)
(9, 17, red)
(9, 18, red)
(9, 14, purple)
(9, 15, purple)
(2, 15, yellow)
(2, 16, yellow)
(3, 15, purple)
(4, 15, purple)
(5, 15, purple)
(0, 14, yellow)
(0, 15, yellow)
(1, 15, yellow)
(8, 12, green)
(8, 13, green)
(8, 14, green)
(8, 15, green)
(5, 13, red)
(5, 14, red)
(6, 14, red)
(6, 15, red)
(0, 13, red)
(1, 13, red)
(1, 14, red)
(2, 14, red)
(2, 13, green)
(3, 13, green)
(4, 13, green)
(4, 14, green)
